year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2022,Minnesota Twins,150363491.0,82.0,0.0,False,Medium,MLB
2022,Colorado Rockies,140012218.0,61.0,0.0,False,Medium,MLB
2022,Kansas City Royals,92613711.0,86.0,0.0,False,Low,MLB
2022,Washington Nationals,126672438.0,71.0,0.0,False,Medium,MLB
2022,Cleveland Guardians,66477492.0,92.0,4.0,False,Low,MLB
2022,Miami Marlins,88454422.0,62.0,0.0,False,Low,MLB
2022,Arizona Diamondbacks,85119750.0,89.0,0.0,False,Low,MLB
2022,Tampa Bay Rays,97167073.0,80.0,0.0,False,Low,MLB
2022,San Francisco Giants,161717317.0,80.0,0.0,False,Medium,MLB
2022,Pittsburgh Pirates,56184032.0,76.0,0.0,False,Low,MLB
2022,Baltimore Orioles,44888388.0,91.0,0.0,False,Low,MLB
2022,Cincinnati Reds,115417321.0,77.0,0.0,False,Medium,MLB
2022,Oakland Athletics,48443900.0,69.0,0.0,False,Low,MLB
2021,New York Mets,201189189.0,89.0,0.0,False,High,MLB
2021,Los Angeles Dodgers,261516971.0,98.0,6.0,False,High,MLB
2021,Houston Astros,194222042.0,88.0,9.0,False,High,MLB
2021,New York Yankees,203311013.0,94.0,0.0,False,High,MLB
2021,Boston Red Sox,186718068.0,81.0,6.0,False,High,MLB
2021,Philadelphia Phillies,190513223.0,95.0,0.0,False,High,MLB
2021,San Francisco Giants,171191545.0,80.0,2.0,False,Medium,MLB
2021,San Diego Padres,179767346.0,93.0,0.0,False,High,MLB
2021,Chicago White Sox,140406825.0,41.0,1.0,False,Medium,MLB
2021,St. Louis Cardinals,151469994.0,83.0,0.0,False,Medium,MLB
2021,Atlanta Braves,151393755.0,89.0,11.0,True,Medium,MLB
2021,Toronto Blue Jays,150140253.0,74.0,0.0,False,Medium,MLB
2021,Cincinnati Reds,126608690.0,77.0,0.0,False,Medium,MLB
2021,Minnesota Twins,121417939.0,82.0,0.0,False,Medium,MLB
2021,Milwaukee Brewers,99377415.0,93.0,1.0,False,Medium,MLB
2021,Colorado Rockies,116208966.0,61.0,0.0,False,Medium,MLB
2021,Detroit Tigers,83698945.0,86.0,0.0,False,Low,MLB
2021,Seattle Mariners,83822113.0,85.0,0.0,False,Low,MLB
2021,Arizona Diamondbacks,91632929.0,89.0,0.0,False,Medium,MLB
2021,Kansas City Royals,91595545.0,86.0,0.0,False,Medium,MLB
2021,Oakland Athletics,89767668.0,69.0,0.0,False,Low,MLB
2021,Washington Nationals,144415187.0,71.0,0.0,False,Medium,MLB
2021,Tampa Bay Rays,70104552.0,80.0,1.0,False,Low,MLB
2021,Cleveland Guardians,50670534.0,92.0,0.0,False,Low,MLB
2021,Los Angeles Angels,182749560.0,63.0,0.0,False,High,MLB
2021,Chicago Cubs,144037170.0,83.0,0.0,False,Medium,MLB
2021,Texas Rangers,95788819.0,78.0,0.0,False,Medium,MLB
2021,Pittsburgh Pirates,54356609.0,76.0,0.0,False,Low,MLB
2021,Miami Marlins,58088180.0,62.0,0.0,False,Low,MLB
2021,Baltimore Orioles,42421870.0,91.0,0.0,False,Low,MLB
2020,Los Angeles Dodgers,124719080.0,98.0,13.0,True,High,MLB
2020,New York Yankees,111939081.0,94.0,4.0,False,High,MLB
2020,Chicago Cubs,86012838.0,83.0,0.0,False,High,MLB
2020,Houston Astros,82574115.0,88.0,8.0,False,High,MLB
2020,Philadelphia Phillies,73543547.0,95.0,0.0,False,Medium,MLB
2020,Los Angeles Angels,67040893.0,63.0,0.0,False,Medium,MLB
2020,San Diego Padres,72861614.0,93.0,2.0,False,Medium,MLB
2020,Cincinnati Reds,55147001.0,77.0,0.0,False,Medium,MLB
2020,St. Louis Cardinals,73246343.0,83.0,1.0,False,Medium,MLB
2020,Atlanta Braves,60552671.0,89.0,8.0,False,Medium,MLB
2020,Minnesota Twins,59679689.0,82.0,0.0,False,Medium,MLB
2020,New York Mets,81945598.0,89.0,0.0,False,High,MLB
2020,Washington Nationals,74697333.0,71.0,0.0,False,High,MLB
